secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix
139383,02JAN2013,TBF 130216P30000,1,16FEB2013,,P,30000,0.6,0.85,0,0,0.144188,-0.554545,0.265821,4.081149,-2.4001,100254833,1,0,NA,NA
139383,02JAN2013,TBF 130216P31000,1,16FEB2013,,P,31000,1.35,1.55,0,0,0.154202,-0.77009,0.191701,3.130889,-1.952801,100254834,1,0,NA,NA
139383,02JAN2013,TBF 130216P32000,1,16FEB2013,,P,32000,2.2,2.45,0,0,0.163138,-0.896464,0.108735,1.857788,-1.20397,100254835,1,0,NA,NA
139383,02JAN2013,TBF 130216P33000,1,16FEB2013,,P,33000,3.1,3.5,0,0,0.194144,-0.934713,0.065214,1.309214,-1.005519,100254836,1,0,NA,NA
139383,02JAN2013,TBF 130216P34000,1,16FEB2013,,P,34000,4.1,4.4,0,0,NA,NA,NA,NA,NA,100254837,1,0,NA,NA
139383,02JAN2013,TBF 130216P35000,1,16FEB2013,,P,35000,5.1,5.4,0,0,NA,NA,NA,NA,NA,100254838,1,0,NA,NA
139383,02JAN2013,TBF 130216P36000,1,16FEB2013,,P,36000,6.1,6.4,0,0,NA,NA,NA,NA,NA,100254839,1,0,NA,NA
139383,02JAN2013,TBF 130216P37000,1,16FEB2013,,P,37000,7.1,7.4,0,0,NA,NA,NA,NA,NA,100254840,1,0,NA,NA
139383,02JAN2013,TBF 130316C20000,1,16MAR2013,02AUG2012,C,20000,9.6,9.9,0,1,NA,NA,NA,NA,NA,83033413,1,0,NA,NA
139383,02JAN2013,TBF 130316C21000,1,16MAR2013,,C,21000,8.6,8.9,0,0,NA,NA,NA,NA,NA,83033414,1,0,NA,NA
139383,02JAN2013,TBF 130316C22000,1,16MAR2013,,C,22000,7.6,7.9,0,0,NA,NA,NA,NA,NA,83033415,1,0,NA,NA
139383,02JAN2013,TBF 130316C23000,1,16MAR2013,,C,23000,6.6,6.9,0,0,NA,NA,NA,NA,NA,83033416,1,0,NA,NA
139383,02JAN2013,TBF 130316C24000,1,16MAR2013,30AUG2012,C,24000,5.6,5.9,0,2,NA,NA,NA,NA,NA,83033417,1,0,NA,NA
139383,02JAN2013,TBF 130316C25000,1,16MAR2013,02JAN2013,C,25000,4.6,4.9,5,22,NA,NA,NA,NA,NA,83033418,1,0,NA,NA
139383,02JAN2013,TBF 130316C26000,1,16MAR2013,20DEC2012,C,26000,3.6,3.9,0,50,NA,NA,NA,NA,NA,83033419,1,0,NA,NA
139383,02JAN2013,TBF 130316C27000,1,16MAR2013,12NOV2012,C,27000,2.65,2.8,0,12,NA,NA,NA,NA,NA,83033420,1,0,NA,NA
139383,02JAN2013,TBF 130316C28000,1,16MAR2013,03DEC2012,C,28000,1.75,2,0,4,0.124994,0.870679,0.12764,2.784742,-0.950266,83033421,1,0,NA,NA
139383,02JAN2013,TBF 130316C29000,1,16MAR2013,02JAN2013,C,29000,1.05,1.2,26,245,0.129506,0.685143,0.207496,4.694304,-1.594361,83033422,1,0,NA,NA
139383,02JAN2013,TBF 130316C30000,1,16MAR2013,02JAN2013,C,30000,0.6,0.7,5,843,0.143822,0.464025,0.209021,5.24973,-1.950417,83033423,1,0,NA,NA
139383,02JAN2013,TBF 130316C31000,1,16MAR2013,02JAN2013,C,31000,0.3,0.35,100,58,0.147562,0.278776,0.172255,4.438961,-1.682306,83033424,1,0,NA,NA
139383,02JAN2013,TBF 130316C32000,1,16MAR2013,31DEC2012,C,32000,0,0.2,0,509,0.134113,0.118084,0.111625,2.612817,-0.898104,83033425,1,0,NA,NA
139383,02JAN2013,TBF 130316C33000,1,16MAR2013,13DEC2012,C,33000,0,0.15,0,25,0.161124,0.079976,0.069842,1.965654,-0.808877,83033426,1,0,NA,NA
139383,02JAN2013,TBF 130316C34000,1,16MAR2013,,C,34000,0,0.15,0,0,0.195378,0.068235,0.051023,1.73748,-0.86743,83033427,1,0,NA,NA
139383,02JAN2013,TBF 130316C35000,1,16MAR2013,,C,35000,0,0.15,0,0,0.227393,0.060187,0.039764,1.576602,-0.914727,83033428,1,0,NA,NA
139383,02JAN2013,TBF 130316C36000,1,16MAR2013,,C,36000,0,0.15,0,0,0.257608,0.05428,0.032359,1.456312,-0.954648,83033429,1,0,NA,NA
139383,02JAN2013,TBF 130316C40000,1,16MAR2013,,C,40000,0,0.15,0,0,0.364875,0.040692,0.018138,1.156099,-1.071792,83092726,1,0,NA,NA
139383,02JAN2013,TBF 130316P20000,1,16MAR2013,,P,20000,0,0.15,0,0,0.49557,-0.027623,0.00971,0.839902,-1.052709,83033430,1,0,NA,NA
139383,02JAN2013,TBF 130316P21000,1,16MAR2013,,P,21000,0,0.15,0,0,0.443208,-0.030683,0.011846,0.915925,-1.026995,83033431,1,0,NA,NA
139383,02JAN2013,TBF 130316P22000,1,16MAR2013,,P,22000,0,0.15,0,0,0.392758,-0.034336,0.014668,1.005542,-0.998187,83033432,1,0,NA,NA
139383,02JAN2013,TBF 130316P23000,1,16MAR2013,,P,23000,0,0.15,0,0,0.343918,-0.038803,0.018513,1.112432,-0.965521,83033433,1,0,NA,NA
139383,02JAN2013,TBF 130316P24000,1,16MAR2013,,P,24000,0,0.15,0,0,0.2964,-0.044433,0.023971,1.240048,-0.92803,83033434,1,0,NA,NA
139383,02JAN2013,TBF 130316P25000,1,16MAR2013,,P,25000,0,0.15,0,0,0.249907,-0.051807,0.032151,1.399367,-0.884016,83033435,1,0,NA,NA
139383,02JAN2013,TBF 130316P26000,1,16MAR2013,,P,26000,0,0.15,0,0,0.204035,-0.062022,0.045376,1.616184,-0.830533,83033436,1,0,NA,NA
